epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.4394,1.57411,1.94419,1.09028,0.94102,0.74038,0.81819,0.47377,1.29557,1.65363,0.99415,0.000412809,0.000412809,0.000412809
2,109.261,1.32556,0.97206,0.99909,0.96995,0.80608,0.86048,0.50088,1.21387,0.76159,1.00388,0.000813052,0.000813052,0.000813052
3,152.386,1.25635,0.84563,0.97806,0.94415,0.8009,0.87141,0.52765,1.14552,0.75854,0.98156,0.00119679,0.00119679,0.00119679
4,195.037,1.24789,0.81656,0.981,0.94915,0.8163,0.88189,0.54683,1.14963,0.66975,0.99155,0.00117575,0.00117575,0.00117575
5,237.615,1.20335,0.74374,0.96363,0.96058,0.80894,0.86968,0.54218,1.14639,0.66103,0.98474,0.001151,0.001151,0.001151
6,280.035,1.17624,0.70272,0.95108,0.93108,0.83998,0.87576,0.53842,1.19652,0.66052,0.9919,0.00112625,0.00112625,0.00112625
7,322.59,1.16687,0.67287,0.94827,0.93,0.83902,0.88357,0.54546,1.17032,0.63637,0.985,0.0011015,0.0011015,0.0011015
8,365.599,1.13855,0.64554,0.93986,0.93348,0.85762,0.90132,0.56598,1.08952,0.6153,0.96321,0.00107675,0.00107675,0.00107675
9,408.28,1.13148,0.62905,0.93988,0.92702,0.87186,0.89863,0.56162,1.09032,0.58037,0.96518,0.001052,0.001052,0.001052
10,451.03,1.11901,0.61845,0.93537,0.93163,0.85487,0.89574,0.55491,1.1291,0.60659,0.96657,0.00102725,0.00102725,0.00102725
11,494.644,1.11515,0.6078,0.93794,0.94457,0.86631,0.90334,0.56742,1.08416,0.5783,0.96774,0.0010025,0.0010025,0.0010025
12,538.374,1.10256,0.59558,0.93334,0.96339,0.87617,0.92012,0.57109,1.11292,0.54563,0.96207,0.00097775,0.00097775,0.00097775
13,581.355,1.09758,0.5824,0.93162,0.94376,0.89308,0.92328,0.58685,1.10219,0.56043,0.96555,0.000953,0.000953,0.000953
14,625.118,1.09163,0.57412,0.92653,0.96251,0.88741,0.9232,0.58341,1.08979,0.52715,0.95898,0.00092825,0.00092825,0.00092825
15,668.266,1.0776,0.56345,0.92446,0.92372,0.90938,0.93344,0.58082,1.09958,0.54527,0.96063,0.0009035,0.0009035,0.0009035
16,711.283,1.07186,0.55659,0.92172,0.96905,0.89688,0.93141,0.59815,1.07824,0.51934,0.95269,0.00087875,0.00087875,0.00087875
17,754.858,1.05433,0.54218,0.91493,0.93601,0.89445,0.92454,0.59944,1.05863,0.51788,0.95296,0.000854,0.000854,0.000854
18,797.579,1.05472,0.54022,0.91908,0.96722,0.90671,0.9388,0.60413,1.05242,0.48959,0.94237,0.00082925,0.00082925,0.00082925
19,843.007,1.05737,0.5347,0.91539,0.97278,0.88833,0.93132,0.59634,1.06589,0.53996,0.95502,0.0008045,0.0008045,0.0008045
20,888.868,1.04525,0.52888,0.91727,0.9755,0.90746,0.93684,0.61659,1.04557,0.50063,0.94503,0.00077975,0.00077975,0.00077975
21,934.419,1.0399,0.52434,0.91234,0.97563,0.90042,0.93699,0.60594,1.07412,0.50677,0.95627,0.000755,0.000755,0.000755
22,979.65,1.05133,0.52132,0.91352,0.96919,0.88959,0.92336,0.58667,1.08608,0.50613,0.95186,0.00073025,0.00073025,0.00073025
23,1024.94,1.02623,0.50838,0.91125,0.98427,0.90271,0.94656,0.61551,1.04951,0.48483,0.94118,0.0007055,0.0007055,0.0007055
24,1069.18,1.02394,0.50548,0.90957,0.95461,0.90552,0.93494,0.59808,1.06672,0.47447,0.94643,0.00068075,0.00068075,0.00068075
25,1112.59,1.01526,0.50259,0.90872,0.97762,0.92518,0.95167,0.62799,1.02815,0.46465,0.9369,0.000656,0.000656,0.000656
26,1155.84,1.01853,0.50244,0.90787,0.98115,0.92045,0.94621,0.61113,1.05284,0.47488,0.94277,0.00063125,0.00063125,0.00063125
27,1199.59,1.01523,0.49731,0.90874,0.98177,0.92172,0.95117,0.6312,1.02139,0.46608,0.93529,0.0006065,0.0006065,0.0006065
